Ext1Desc,GenericExt1Color,DivisionName,subDivisionName,modelname
Ablaze,Red,Scion,Scion Cars,FR-S
Ablaze Red Metallic,Red,Suzuki,Suzuki,SX4
Adriatic Blue Metallic,Blue,Isuzu,Isuzu Pickups,i-280
Agate Green,Green,Mercedes-Benz,Mercedes-Benz,G-Class
Akoya Silver Metallic,Silver,Audi,Audi,A8 L
Alabandite Green Metallic,Green,Mercedes-Benz,Mercedes-Benz,GLK-Class
Alabaster Silver Metallic,Silver,Honda,Honda,Accord Coupe
Alabaster Silver Metallic,Silver,Honda,Honda,Accord Cpe
Alabaster Silver Metallic,Silver,Honda,Honda,Accord Crosstour
Alabaster Silver Metallic,Silver,Honda,Honda,Insight
Alabaster Silver Metallic,Silver,Honda,Honda,Odyssey
Alfieri Grey,Gray,Maserati,Maserati,GranSport
Alloy Metallic,Silver,Ford,Ford Cars,Taurus
Almond Green,Green,Aston Martin,Aston Martin,DBS
ALPINA Blue,Blue,BMW,BMW,7 Series
Alpine Green,Green,Suzuki,Suzuki,Esteem
Alpine Green Metallic,Green,Bentley,Bentley,Continental GT V8 S
Alpine Green Pearl,Green,Dodge,Dodge Cars,Stratus
Alpine White,White,BMW,BMW,Z3 Series
Aluminum Silver (Met),Silver,Audi,Audi,A4
Aluminum Silver (Met),Silver,Volkswagen,Volkswagen,Golf
Amber Brownstone,Brown,Acura,Acura,ILX
Amber Fire Pearl,Orange,Dodge,Dodge Cab-Chassis,Ram BR2500
Amber Metallic,Orange,Bentley,Bentley,Continental GT Speed
Amber Metallic,Tan,Bentley,Bentley,Continental GT V8
Amethyst Red,Red,Aston Martin,Aston Martin,V8 Vantage
Amethyst Red,Red,Aston Martin,Aston Martin,Vanquish
Ammonite Gray Metallic,Gray,Jaguar,Jaguar,XJ
Amulet Red,Red,Audi,Audi,A4
Andorra Red Pearl,Red,Audi,Audi,S8
Anthracite Metallic,Black,Acura,Acura,TL
Anthracite Metallic,Gray,Acura,Acura,CL
Antique Gold,Gold,Rolls-Royce,Rolls-Royce,Phantom
Antique Gold Metallic,Gold,Bentley,Bentley,Continental GT Speed
Appalachian Blue Pearl,Blue,Mitsubishi,Mitsubishi Trucks,Raider
Apple Red,Red,GMC,GMC Chassis-Cabs,Sierra 3500 HD
Aqua Blue Metallic,Teal,Lincoln,Lincoln,Town Car
Aqua Green,Teal,Dodge,Dodge Cargo Vans,Sprinter
Aqua Green,Teal,Mercedes-Benz,Mercedes-Benz,Sprinter Chassis-Cabs
Arabica over Burnt Oak,Brown,Bentley,Bentley,Flying Spur
Arc White,White,Chevrolet,Chevy W-Series,W3S042 W3500 DSL REG
Arc White,White,GMC,GMC W-Series,W4500 HD DSL CREW
Arc White,White,GMC,GMC W-Series,W5500 DSL REG MT LSD
Arc White,White,Isuzu,Isuzu F-Series,FVR
Arc White,White,Isuzu,Isuzu N-Series,NPR XD DSL CREW LSD
Arc White,White,Isuzu,Isuzu N-Series,NQR DSL CREW
Arctic Blue Silver,Blue,Volkswagen,Volkswagen,Passat Wagon
Arctic Green (CC/Met),Green,Mercury,Mercury,Cougar
Arctic Grey Metallic,Gray,BMW,BMW,7 Series
Arctic Silver (Met),Silver,BMW,BMW,7 Series
Arctic White,White,Isuzu,Isuzu Utility Vehicles,Ascender
Arctic White,White,Nissan,Nissan Trucks/Vans,Xterra
Arctica,White,Bentley,Bentley,Continental
Arizona Beige Metallic,Gold,Ford,Ford Chassis-Cabs,Super Duty F-550
Arrival Blue Metallic,Blue,Chevrolet,Chevy Chassis-Cabs,Silverado 2500
Aruba,Gray,Land Rover,Land Rover,Range Rover Sport
Asgard Grey,Gray,INFINITI,INFINITI,FX37
Asgard Grey Metallic,Gray,INFINITI,INFINITI,QX60
Ash Gold,Gold,Volvo,Volvo,XC90
Aspen Green,Green,Mercedes-Benz,Mercedes-Benz,E-Class
Aspen Green Metallic,Green,Ford,Ford Utility Vehicles,Expedition
Aspen Green Pearl,Green,Toyota,Toyota Cars,Sienna
Aspen White,White,Lotus,Lotus,Evora
Aspen White Pearl,White,Acura,Acura,MDX
Aspen White/Text. Gray,White,Subaru,Subaru,Forester (Natl)
Atlantic Blue Metallic,Blue,Ford,Ford Cars,Escort
Atlantic Blue Pearl,Blue,Dodge,Dodge Passenger Vans,Grand Caravan
Atlas Cedar Metallic,Green,BMW,BMW,X5
Atoll Blue Metallic,Blue,Mercedes-Benz,Mercedes-Benz,B-Class
Atomic Silver,Silver,Lexus,Lexus,ES 350
Atomic Silver,Silver,Lexus,Lexus,IS
Atomic Silver,Silver,Lexus,Lexus,NX 200t
Attitude Black Metallic,Black,Toyota,Toyota Cars,Avalon Hybrid
Aurora Blue Mica,Blue,Mazda,Mazda Cars,RX-8
Aurum,Yellow,Rolls-Royce,Rolls-Royce,Phantom
Aurum,Yellow,Rolls-Royce,Rolls-Royce,Phantom Coupe
Autumn Blaze Metallic,Red,Toyota,Toyota Trucks,4Runner
Autumn Copper,Copper,INFINITI,INFINITI,FX45
Autumn Shimmer,Brown,Lexus,Lexus,GS 450h
Autumn Sunburst Pearl,Copper,Nissan,Nissan Trucks/Vans,Trucks 2WD
Aventurine Silver Metallic,Silver,BMW,BMW,X5
Avio Metallic,Blue,Ferrari,Ferrari,FF
Avorio,Tan,Ferrari,Ferrari,FF
Avorio,White,Ferrari,Ferrari,458 Italia
Azure Blue,Blue,Jaguar,Jaguar,XF
Azurite Blue,Blue,Jaguar,Jaguar,XJ
Azzurro Monaco,Blue,Ferrari,Ferrari,FF
Bali Blue Pearl,Blue,Acura,Acura,ZDX
Baltic Blue,Blue,Acura,Acura,SLX
Baltic Blue,Blue,Cadillac,Cadillac,Concours
Banyan Bay Beige,Tan,Mitsubishi,Mitsubishi Cars,Galant
Barbera Red Metallic,Red,BMW,BMW,6 Series
Barcelona Red Metallic,Red,Toyota,Toyota Trucks,Tundra 2WD Truck
Barolo Black Metallic,Black,Land Rover,Land Rover,Range Rover Evoque
Barolo Red Metallic,Red,Mercedes-Benz,Mercedes-Benz,S-Class
Barossa Metallic,Black,Land Rover,Land Rover,Range Rover
Basque Red Pearl,Red,Acura,Acura,RDX
Batik Blue Metallic,Teal,Volkswagen,Volkswagen,New Cabrio
Beet Silver,Silver,Kia,Kia Cars,Sephia
Beige Metallic,Tan,Toyota,Toyota Trucks,RAV4
Bellanova White Pearl,White,Acura,Acura,RLX
Bellanova White Pearl,White,Acura,Acura,TL
Bellanova White Pearl,White,Acura,Acura,TLX
Beluga,Black,Bentley,Bentley,Continental GT
Beluga Black (CC),Black,Land Rover,Land Rover,Discovery
R Red,Red,Volvo,Volvo,850
4Evergreen Mica,Green,Toyota,Toyota Cars,Corolla
Absolute Black,Black,Ford,Ford Medium-Duty Chassis,Super Duty F-650 Tractor
Absolute Black,Black,Ford,Ford Medium-Duty Chassis,Super Duty F-750 Tractor
Absolutely Red,Red,Toyota,Toyota Cars,MR2 Spyder
